CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Condition,Count,Footnote,Location,GeoLocation
10T226,ORANGE PARK REHABILITATION CTR,1883 KINGSLEY AVE,,ORANGE PARK,FL,32073,Clay,(904) 639-1833,4,"Hip or knee replacement, amputation or other bone or joint condition",46,,"1883 KINGSLEY AVE ORANGE PARK, FL 32073 (30.164906, -81.735698)","(28.932040377000476, -81.92896053899966)"
27T049,ST VINCENT HEALTHCARE,PO BOX 35200,,BILLINGS,MT,59101,Yellowstone,(502) 596-6346,8,Spinal cord injury (traumatic),less than 11,1,,"(47.06652897200047, -109.42442064499971)"
673038,MEMORIAL HERMANN REHABILITATION HOSPITAL KATY,"21720 KINGSLAND BLVD, SUITE 102",,KATY,TX,77450,Harris,(281) 579-5678,6,Nervous system disorder (excluding stroke),38,,"21720 KINGSLAND BLVD, SUITE 102 KATY, TX 77450 (29.775015, -95.745834)","(31.827240407000488, -99.42677020599967)"
37T106,INTEGRIS SOUTHWEST MEDICAL CENTER,4401 SOUTH WESTERN AVENUE,,OKLAHOMA CITY,OK,73109,Oklahoma,(405) 636-7000,6,Stroke,237,,"4401 SOUTH WESTERN AVENUE OKLAHOMA CITY, OK 73109 (35.422535, -97.530196)","(35.47203135600046, -97.52107021399968)"
37T018,JANE PHILLIPS MEMORIAL MEDICAL CENTER,3500 FRANK PHILLIPS BOULEVARD,,BARTLESVILLE,OK,74006,Washington,(918) 333-7200,6,Spinal cord injury (traumatic),less than 11,1,"3500 FRANK PHILLIPS BOULEVARD BARTLESVILLE, OK 74006 (36.750676, -95.939698)","(35.47203135600046, -97.52107021399968)"
16T082,YOUNKER REHABILITATION,1200 PLEASANT ST,,DES MOINES,IA,50309,Polk,(515) 868-7665,7,Spinal cord injury (traumatic),less than 11,1,"1200 PLEASANT ST DES MOINES, IA 50309 (41.590777, -93.633131)","(42.46940091300047, -93.81649055599968)"
673066,HEALTHSOUTH REHABILITATION HOSPITAL OF PEARLAND,2121 BUSINESS CENTER DR,,PEARLAND,TX,77584,Brazoria,(346) 907-3000,6,Hip or femur fracture,57,,"2121 BUSINESS CENTER DR PEARLAND, TX 77584 (29.572999, -95.39052)","(31.827240407000488, -99.42677020599967)"
42T068,THE REGIONAL MEDICAL CENTER,3000 ST MATTHEWS RD,,ORANGEBURG,SC,29118,Orangeburg,(803) 395-2200,4,"Hip or knee replacement, amputation or other bone or joint condition",64,,"3000 ST MATTHEWS RD ORANGEBURG, SC 29118 (33.540783, -80.832814)","(33.998821303000454, -81.04537120699968)"
26T138,ST LUKES HOSPITAL KANSAS CITY,4401 WORNALL RD,,KANSAS CITY,MO,64111,Jackson,(816) 932-2428,7,Brain disease or condition (non-traumatic),18,,"4401 WORNALL RD KANSAS CITY, MO 64111 (39.046134, -94.59015)","(38.635790776000476, -92.56630005299968)"
223027,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,250 POND STREET,,BRAINTREE,MA,2184,Norfolk,(781) 848-5353,1,Spinal cord injury (traumatic),19,,"250 POND STREET BRAINTREE, MA 02184 (42.198686, -71.01922)","(42.27687047000046, -72.08269067499964)"
39T013,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,,LEWISBURG,PA,17837,Union,(570) 522-2000,3,Spinal cord injury (traumatic),Not Available,2,,"(40.79373015200048, -77.86070029399963)"
373035,PAM REHABILITATION HOSPITAL OF TULSA,10020 EAST 91ST DRIVE,,TULSA,OK,74133,Tulsa,(918) 893-2400,6,Hip or femur fracture,103,,"10020 EAST 91ST DRIVE TULSA, OK 74133 (36.031909, -95.865179)","(35.47203135600046, -97.52107021399968)"
39T107,UPMC PASSAVANT - THE REHAB CENTER,9100 BABCOCK BLVD.,,PITTSBURGH,PA,15237,Allegheny,(412) 367-7547,3,Brain disease or condition (non-traumatic),29,,"9100 BABCOCK BLVD. PITTSBURGH, PA 15237 (40.568235, -80.016518)","(40.79373015200048, -77.86070029399963)"
23T093,MECOSTA COUNTY MEDICAL CENTER,605 OAK ST,,BIG RAPIDS,MI,49307,Mecosta,(231) 592-4455,5,Stroke,Not Available,2,"605 OAK ST BIG RAPIDS, MI 49307 (43.693126, -85.475763)","(44.6613195430005, -84.71439026999968)"
45T058,BAPTIST HEALTH SYSTEM,7930 FLOYD CURL,,SAN ANTONIO,TX,78229,Bexar,(210) 297-5192,6,Brain disease or condition (non-traumatic),57,,"7930 FLOYD CURL SAN ANTONIO, TX 78229 (29.511634, -98.575588)","(31.827240407000488, -99.42677020599967)"
44T197,SOUTHERN HILLS MEDICAL CENTER,391 WALLACE RD,,NASHVILLE,TN,37211,Davidson,(615) 781-3470,4,Nervous system disorder (excluding stroke),40,,"391 WALLACE RD NASHVILLE, TN 37211 (36.077872, -86.723814)","(35.68094058000048, -85.77449091399967)"
38T075,PROVIDENCE MEDFORD MEDICAL CENTER,1111 CRATER LAKE AVENUE,,MEDFORD,OR,97504,Jackson,(541) 732-6346,10,Stroke,49,,"1111 CRATER LAKE AVENUE MEDFORD, OR 97504 (42.339971, -122.861)","(44.56744942400047, -120.15503132599969)"
673042,"ENCOMPASS REHABILITATION HOSPITAL OF SUGAR LAND, L",1325 HWY 6,,SUGAR LAND,TX,77478,Fort Bend,(281) 276-7599,6,Nervous system disorder (excluding stroke),178,,"1325 HWY 6 SUGAR LAND, TX 77478 (29.603083, -95.634248)","(31.827240407000488, -99.42677020599967)"
39T042,THE WASHINGTON HOSPITAL,155 WILSON AVENUE,,WASHINGTON,PA,15301,Washington,(724) 229-2449,3,Brain disease or condition (non-traumatic),less than 11,1,"155 WILSON AVENUE WASHINGTON, PA 15301 (40.183244, -80.247471)","(40.79373015200048, -77.86070029399963)"
673065,CHI ST JOSEPH HEALTHSOUTH REHABILITATION HOSPITAL,1600 JOSEPH DR,,BRYAN,TX,77802,Brazos,(979) 821-7506,6,Stroke,150,,"1600 JOSEPH DR BRYAN, TX 77802 (30.660624, -96.351528)","(31.827240407000488, -99.42677020599967)"
33T044,FAXTON-ST. LUKES HEALTHCARE,1650 CHAMPLIN AVENUE,,UTICA,NY,13502,Oneida,(315) 624-8759,2,Hip or femur fracture,49,,"1650 CHAMPLIN AVENUE UTICA, NY 13502 (43.098156, -75.275288)","(42.82700103200045, -75.54397042699964)"
23T013,NORTH OAKLAND MEDICAL CENTERS,461 W HURON,,PONTIAC,MI,48341,Oakland,(248) 857-7061,5,Nervous system disorder (excluding stroke),Not Available,2,"461 W HURON PONTIAC, MI 48341 (42.635679, -83.309475)","(44.6613195430005, -84.71439026999968)"
32T009,ST JOSEPH MEDICAL CENTER,601 DR MARTIN LUTHER KING JR AVE NE,,ALBUQUERQUE,NM,87102,Bernalillo,(505) 224-8000,6,Brain injury (traumatic),Not Available,2,"601 DR MARTIN LUTHER KING JR AVE NE ALBUQUERQUE, NM 87102 (35.085622, -106.639765)","(34.52088095200048, -106.24058098499967)"
53040,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MODEST,1303 MABLE AVENUE,,MODESTO,CA,95355,Stanislaus,(209) 857-3400,9,All other conditions,91,,"1303 MABLE AVENUE MODESTO, CA 95355 (37.696113, -120.975378)","(37.63864012300047, -120.99999953799971)"
05T017,MERCY GENERAL HOSPITAL,4001 J STREET,,SACRAMENTO,CA,95819,Sacramento,(916) 453-4531,9,Nervous system disorder (excluding stroke),13,,"4001 J STREET SACRAMENTO, CA 95819 (38.569385, -121.452482)","(37.63864012300047, -120.99999953799971)"
19T125,ST. FRANCIS MEDICAL CENTER ACUTE REHAB,309 JACKSON STREET,,MONROE,LA,71201,Ouachita,(318) 966-7150,6,"Hip or knee replacement, amputation or other bone or joint condition",less than 11,1,"309 JACKSON STREET MONROE, LA 71201 (32.499732, -92.11479)","(31.31266064400046, -92.44568007099969)"
05T573,EISENHOWER MEDICAL CENTER,39-000 BOB HOPE DRIVE,,RANCHO MIRAGE,CA,92270,Riverside,(760) 773-1308,9,Brain injury (traumatic),less than 11,1,"39-000 BOB HOPE DRIVE RANCHO MIRAGE, CA 92270 (33.764852, -116.408085)","(37.63864012300047, -120.99999953799971)"
10T006,ORLANDO REGIONAL REHAB INSTITUTE,1414 KUHL AVE,,ORLANDO,FL,32806,Orange,(321) 841-4165,4,Nervous system disorder (excluding stroke),13,,"1414 KUHL AVE ORLANDO, FL 32806 (28.524917, -81.378113)","(28.932040377000476, -81.92896053899966)"
33034,"YUMA REHABILITATION HOSPITAL,AN AFFILIATION OF ENC",901 WEST 24TH STREET,,YUMA,AZ,85364,Yuma,(928) 726-5000,9,Nervous system disorder (excluding stroke),380,,"901 WEST 24TH STREET YUMA, AZ 85364 (32.683976, -114.630731)","(34.865970280000454, -111.76381127699972)"
33041,REHABILITATION HOSPITAL OF NORTHERN ARIZONA,1851 NORTH GEMINI DRIVE,,FLAGSTAFF,AZ,86001,Coconino,(928) 774-7070,9,Hip or femur fracture,34,,"1851 NORTH GEMINI DRIVE FLAGSTAFF, AZ 86001 (35.211285, -111.629292)","(34.865970280000454, -111.76381127699972)"
36T218,LICKING MEMORIAL HOSPITAL,1320 W MAIN ST,,NEWARK,OH,43055,Licking,(220) 564-1863,5,Nervous system disorder (excluding stroke),less than 11,1,"1320 W MAIN ST NEWARK, OH 43055 (40.046907, -82.45039)","(40.06021014100048, -82.40426005599966)"
45T670,TOMBALL REGIONAL MEDICAL CTR,605 HOLDERRIETH BLVD,,TOMBALL,TX,77375,Harris,(281) 401-7803,6,Nervous system disorder (excluding stroke),60,,"605 HOLDERRIETH BLVD TOMBALL, TX 77375 (30.088703, -95.623985)","(31.827240407000488, -99.42677020599967)"
113033,ENCOMPASS HEALTH REHAB HOSPITAL OF SAVANNAH,6510 SEAWRIGHT DRIVE,,SAVANNAH,GA,31404,Chatham,(912) 235-6000,4,All other conditions,315,,"6510 SEAWRIGHT DRIVE SAVANNAH, GA 31404 (32.007948, -81.095457)","(32.83968109300048, -83.62758034599966)"
14T054,MACNEAL HOSPITAL,3249 S. OAK PARK AVE,,BERWYN,IL,60402,Cook,(708) 783-9100,5,Brain injury (traumatic),less than 11,1,"3249 S. OAK PARK AVE BERWYN, IL 60402 (41.832002, -87.792783)","(40.48501028300046, -88.99771017799969)"
46T051,JORDAN VALLEY MEDICAL CENTER,3580 W 9000 S,,WEST JORDAN,UT,84088,Salt Lake,(801) 601-2368,8,Spinal cord disease or condition (non-traumatic),less than 11,1,"3580 W 9000 S WEST JORDAN, UT 84088 (40.587958, -111.975285)","(39.360700171000474, -111.58713063499971)"
33T406,SUNNYVIEW HOSPITAL AND REHABILITATION,1270 BELMONT AVE.,,SCHENECTADY,NY,12308,Schenectady,(518) 382-4500,2,Hip or femur fracture,159,,"1270 BELMONT AVE. SCHENECTADY, NY 12308 (42.822229, -73.91386)","(42.82700103200045, -75.54397042699964)"
46T041,DAVIS HOSPITAL MEDICAL CTR,1600 WEST ANTELOPE DRIVE,,LAYTON,UT,84041,Davis,(801) 807-7240,8,Stroke,less than 11,1,"1600 WEST ANTELOPE DRIVE LAYTON, UT 84041 (41.089242, -111.995471)","(39.360700171000474, -111.58713063499971)"
363038,CLEVELAND CLINIC REHABILITATION HOSPITALS LLC,33355 HEALTH CAMPUS BLVD,,AVON,OH,44011,Lorain,(440) 934-0489,5,Hip or femur fracture,129,,"33355 HEALTH CAMPUS BLVD AVON, OH 44011 (41.473741, -81.986423)","(40.06021014100048, -82.40426005599966)"
05T248,SAM KARAS ARU - NATIVIDAD,1441 CONSTITUTION BOULEVARD,,SALINAS,CA,93906,Monterey,(502) 596-6346,9,Hip or femur fracture,51,,"1441 CONSTITUTION BOULEVARD SALINAS, CA 93906 (36.695472, -121.63124)","(37.63864012300047, -120.99999953799971)"
193094,PATHWAY REHABILITATION HOSPITAL OF BOSSIER,4900 MEDICAL DRIVE,,BOSSIER CITY,LA,71112,Bossier,(318) 841-5555,6,Hip or femur fracture,55,,"4900 MEDICAL DRIVE BOSSIER CITY, LA 71112 (32.460624, -93.667827)","(31.31266064400046, -92.44568007099969)"
39T028,UPMC MERCY,1400 LOCUST STREET,,PITTSBURGH,PA,15219,Allegheny,(412) 443-4180,3,Hip or femur fracture,11,,"1400 LOCUST STREET PITTSBURGH, PA 15219 (40.436831, -79.985623)","(40.79373015200048, -77.86070029399963)"
37T029,INTEGRIS CLINTON REGIONAL HOSP,100 N 30TH ST,,CLINTON,OK,73601,Custer,(580) 323-8292,6,Hip or femur fracture,12,,"100 N 30TH ST CLINTON, OK 73601 (35.514789, -98.996879)","(35.47203135600046, -97.52107021399968)"
45T809,NORTH AUSTIN MEDICAL CENTER,12221 NORTH MOPAC EXPRESSWAY,,AUSTIN,TX,78758,Travis,(512) 901-1855,6,All other conditions,51,,"12221 NORTH MOPAC EXPRESSWAY AUSTIN, TX 78758 (30.412144, -97.708113)","(31.827240407000488, -99.42677020599967)"
233027,REHABILITATION INSTITUTE OF MICHIGAN,261 MACK BLVD,,DETROIT,MI,48201,Wayne,(313) 745-9710,5,Stroke,120,,"261 MACK BLVD DETROIT, MI 48201 (42.348842, -83.054877)","(44.6613195430005, -84.71439026999968)"
14T191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,,HARVEY,IL,60426,Cook,(708) 915-4686,5,Stroke,116,,,"(40.48501028300046, -88.99771017799969)"
19T002,LAFAYETTE GENERAL ORTHOPAEDIC HOSPITAL,2810 AMBASSADOR CAFFERY PKWY.,,LAFAYETTE,LA,70505,Lafayette,(337) 406-4162,6,All other conditions,51,,"2810 AMBASSADOR CAFFERY PKWY. LAFAYETTE, LA 70505 (30.197997, -92.075264)","(31.31266064400046, -92.44568007099969)"
06T023,ST. MARYS HOSPITAL AND MEDICAL CENTER,2635 NORTH SEVENTH STREET,BOX 1628,GRAND JUNCTION,CO,81502,Mesa,(970) 298-7646,8,Nervous system disorder (excluding stroke),13,,"2635 NORTH SEVENTH STREET GRAND JUNCTION, CO 81502 (39.090604, -108.561439)","(38.843840757000464, -106.13361092099967)"
33T279,BUFFALO MERCY REHABILITATION UNIT,565 ABBOTT ROAD,,BUFFALO,NY,14220,Erie,(716) 510-9029,2,Spinal cord disease or condition (non-traumatic),20,,"565 ABBOTT ROAD BUFFALO, NY 14220 (42.847875, -78.811876)","(42.82700103200045, -75.54397042699964)"
323032,"REHABILITATION HOSPITAL OF SOUTHERN NEW MEXICO,INC",4441 E LOHMAN AVE,,LAS CRUCES,NM,88011,Dona Ana,(575) 521-6400,6,All other conditions,141,,"4441 E LOHMAN AVE LAS CRUCES, NM 88011 (32.324672, -106.724505)","(34.52088095200048, -106.24058098499967)"
523028,UW HEALTH REHABILITATION HOSPITAL,5115 N BILTMORE LN,,MADISON,WI,53718,Dane,(608) 592-8100,5,Hip or femur fracture,48,,"5115 N BILTMORE LN MADISON, WI 53718 (43.152119, -89.297151)","(44.39319117400049, -89.81637074199966)"
45T104,GUADALUPE REGIONAL MEDICAL CTR,1215 EAST COURT STREET,,SEGUIN,TX,78155,Guadalupe,(830) 401-7789,6,Spinal cord disease or condition (non-traumatic),less than 11,1,"1215 EAST COURT STREET SEGUIN, TX 78155 (29.569043, -97.948334)","(31.827240407000488, -99.42677020599967)"
193069,STERLINGTON REHABILITATION HOSPITAL,370 W HICKORY STREET,,BASTROP,LA,71220,Morehouse,(318) 281-4531,6,Stroke,64,,"370 W HICKORY STREET BASTROP, LA 71220 (32.775887, -91.918981)","(31.31266064400046, -92.44568007099969)"
14T067,SAINT FRANCIS MEDICAL CENTER,530 N.E. GLEN OAK AVE,,PEORIA,IL,61637,Peoria,(309) 655-5750,5,"Hip or knee replacement, amputation or other bone or joint condition",12,,,"(40.48501028300046, -88.99771017799969)"
36T064,ST. ELIZABETH HEALTH CENTER,1044 BELMONT AVENUE,,YOUNGSTOWN,OH,44501,Mahoning,(330) 480-3999,5,All other conditions,18,,"1044 BELMONT AVENUE YOUNGSTOWN, OH 44501 (41.114321, -80.65571)","(40.06021014100048, -82.40426005599966)"
23T097,MARY FREE BED AT MUNSON,1105 6TH ST.,,TRAVERSE CITY,MI,49684,Grand Traverse,(^) -,5,Hip or femur fracture,less than 11,1,"1105 6TH ST. TRAVERSE CITY, MI 49684 (44.761645, -85.641588)","(44.6613195430005, -84.71439026999968)"
49T066,SENTARA WILLIAMSBURG REGIONAL,100 SENTARA CIRCLE,,WILLIAMSBURG,VA,23188,James City,(757) 984-7409,3,Spinal cord injury (traumatic),less than 11,1,"100 SENTARA CIRCLE WILLIAMSBURG, VA 23188 (37.335033, -76.742161)","(37.54268067400045, -78.45789046299967)"
193080,SPECIALTY REHABILITATION HOSPITAL,1110 RINGGOLD AVENUE,,COUSHATTA,LA,71019,Red River,(318) 932-1770,6,Hip or femur fracture,11,,"1110 RINGGOLD AVENUE COUSHATTA, LA 71019 (32.029149, -93.339501)","(31.31266064400046, -92.44568007099969)"
13T028,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,,POCATELLO,ID,83201,Bannock,(208) 239-1460,10,Brain disease or condition (non-traumatic),less than 11,1,"777 HOSPITAL WAY POCATELLO, ID 83201 (42.872621, -112.4189)","(43.682630005000476, -114.3637300419997)"
15T162,FRANCISCAN HEALTH INDIANAPOLIS,8111 S EMERSON AVE,,INDIANAPOLIS,IN,46237,Marion,(317) 528-6038,5,All other conditions,62,,"8111 S EMERSON AVE INDIANAPOLIS, IN 46237 (39.648365, -86.082674)","(39.766910452000445, -86.14996019399968)"
11T164,COLISEUM REHABILITATION CENTER,350 HOSPITAL DRIVE,,MACON,GA,31217,Bibb,(478) 765-4433,4,Spinal cord injury (traumatic),less than 11,1,"350 HOSPITAL DRIVE MACON, GA 31217 (32.847315, -83.62027)","(32.83968109300048, -83.62758034599966)"
42T083,MARY BLACK CENTER FOR REHAB,1700 SKYLYN DRIVE,,SPARTANBURG,SC,29304,Spartanburg,(864) 573-3083,4,Stroke,43,,"1700 SKYLYN DRIVE SPARTANBURG, SC 29304 (34.978285, -81.893659)","(33.998821303000454, -81.04537120699968)"
28T040,NEBRASKA METHODIST HEALTH SYSTEM,8511 WEST DODGE ROAD,,OMAHA,NE,68114,Douglas,(402) 354-4405,7,Stroke,100,,"8511 WEST DODGE ROAD OMAHA, NE 68114 (41.262378, -96.044701)","(41.6410409880005, -99.36572062299967)"
36T234,MERCY WEST HOSPITAL,3300 MERCY HEALTH BLVD,,CINCINNATI,OH,45211,Hamilton,(502) 596-6346,5,"Hip or knee replacement, amputation or other bone or joint condition",61,,"3300 MERCY HEALTH BLVD CINCINNATI, OH 45211 (39.180884, -84.595394)","(40.06021014100048, -82.40426005599966)"
39T160,CANONSBURG GENERAL HOSPITAL,100 MEDICAL BOULEVARD,,CANONSBURG,PA,15317,Washington,(724) 745-3908,3,Stroke,56,,"100 MEDICAL BOULEVARD CANONSBURG, PA 15317 (40.248477, -80.190434)","(40.79373015200048, -77.86070029399963)"
36T081,MERCY ST CHARLES HOSPITAL,2600 NAVARRE AVENUE,,OREGON,OH,43616,Lucas,(419) 696-5690,5,Brain injury (traumatic),less than 11,1,"2600 NAVARRE AVENUE OREGON, OH 43616 (41.636669, -83.486589)","(40.06021014100048, -82.40426005599966)"
26T074,MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVE,,MOBERLY,MO,65270,Randolph,(660) 263-8400,7,Brain disease or condition (non-traumatic),Not Available,2,"1515 UNION AVE MOBERLY, MO 65270 (39.423879, -92.414216)","(38.635790776000476, -92.56630005299968)"
31T108,JFK JOHNSON REHAB INSTITUTE,65 JAMES STREET,,EDISON,NJ,8820,Middlesex,(732) 321-7000,2,Nervous system disorder (excluding stroke),41,,"65 JAMES STREET EDISON, NJ 08820 (40.55787, -74.349499)","(40.13057004800049, -74.27369128799967)"
423029,ANMED HEALTHSOUTH REHABILITATION HOSPITAL,1 SPRINGBACK WAY,,ANDERSON,SC,29621,Anderson,(864) 716-2600,4,Brain disease or condition (non-traumatic),96,,"1 SPRINGBACK WAY ANDERSON, SC 29621 (34.537882, -82.628748)","(33.998821303000454, -81.04537120699968)"
11T168,REDMOND REGIONAL MEDICAL CENTER,501 REDMOND ROAD,,ROME,GA,30165,Floyd,(706) 291-0291,4,Nervous system disorder (excluding stroke),less than 11,1,"501 REDMOND ROAD ROME, GA 30165 (34.278191, -85.194131)","(32.83968109300048, -83.62758034599966)"
49T107,RESTON HOSP INPATIENT REHAB,1850 TOWN CENTER PKWY,,RESTON,VA,20190,Fairfax,(703) 481-2408,3,Nervous system disorder (excluding stroke),Not Available,2,"1850 TOWN CENTER PKWY RESTON, VA 20190 (38.96189, -77.362657)","(37.54268067400045, -78.45789046299967)"
14T280,TRINITY MEDICAL CENTER,2701-17TH STREET,,ROCK ISLAND,IL,61201,Rock Island,(309) 779-2964,5,Nervous system disorder (excluding stroke),less than 11,1,,"(40.48501028300046, -88.99771017799969)"
33T049,THE PAUL ROSENTHAL REHABILITATION CENTER AT NDH,6511 SPRINGBROOK AVENUE,PO BOX 5002,RHINEBECK,NY,12572,Dutchess,(845) 871-4313,2,Nervous system disorder (excluding stroke),less than 11,1,,"(42.82700103200045, -75.54397042699964)"
10T167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,,PLANTATION,FL,33317,Broward,(305) 854-4400,4,Nervous system disorder (excluding stroke),34,,"401 NW 42ND AVE PLANTATION, FL 33317 (26.126461, -80.20417)","(28.932040377000476, -81.92896053899966)"
183026,CARDINAL HILL REHABILITATION HOSPITAL,2050 VERSAILLES ROAD,,LEXINGTON,KY,40504,Fayette,(859) 254-5701,4,Brain injury (traumatic),77,,"2050 VERSAILLES ROAD LEXINGTON, KY 40504 (38.047548, -84.542648)","(37.645970271000465, -84.77497104799966)"
363035,SUMMA REHAB HOSPITAL,29 NORTH ADAMS STREET,,AKRON,OH,44304,Summit,(330) 572-7300,5,Nervous system disorder (excluding stroke),209,,"29 NORTH ADAMS STREET AKRON, OH 44304 (41.078553, -81.498554)","(40.06021014100048, -82.40426005599966)"
63035,VIBRA REHABILITATION HOSPITAL OF DENVER,"8451 PEARL ST, STE 101",,THORNTON,CO,80229,Adams,(303) 301-8700,8,Brain injury (traumatic),less than 11,1,"8451 PEARL ST, STE 101 THORNTON, CO 80229 (39.849815, -104.979305)","(38.843840757000464, -106.13361092099967)"
26T023,MERCY HOSPITAL JEFFERSON,HWY 61 SOUTH,PO BOX 350,CRYSTAL CITY,MO,63019,Jefferson,(636) 933-1000,7,Spinal cord injury (traumatic),less than 11,1,,"(38.635790776000476, -92.56630005299968)"
45T035,ST. JOSEPH MEDICAL CENTER,1401 ST. JOSEPH PARKWAY,GWS 3381,HOUSTON,TX,77002,Harris,(713) 756-5334,6,Hip or femur fracture,21,,"1401 ST. JOSEPH PARKWAY HOUSTON, TX 77002 (29.747898, -95.36639)","(31.827240407000488, -99.42677020599967)"
14T180,AMITA HEALTH SAINTS MARY AND ST ELIZABETH MED CTR,2233 WEST DIVISION STREET,,CHICAGO,IL,60622,Cook,(312) 770-2268,5,Spinal cord disease or condition (non-traumatic),11,,"2233 WEST DIVISION STREET CHICAGO, IL 60622 (41.903104, -87.683213)","(40.48501028300046, -88.99771017799969)"
103038,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIAMI,20601 OLD CUTLER RD,,MIAMI,FL,33189,Miami-Dade,(305) 251-3800,4,All other conditions,146,,"20601 OLD CUTLER RD MIAMI, FL 33189 (25.57541, -80.341577)","(28.932040377000476, -81.92896053899966)"
14T091,CARLE FOUNDATION HOSPITAL,611 W. PARK,,URBANA,IL,61801,Champaign,(217) 383-6423,5,Spinal cord disease or condition (non-traumatic),less than 11,1,"611 W. PARK URBANA, IL 61801 (40.117423, -88.213888)","(40.48501028300046, -88.99771017799969)"
173033,MEADOWBROOK REHABILITATION HOSPITAL,427 WEST MAIN STREET,,GARDNER,KS,66030,Johnson,(913) 856-8747,7,Hip or femur fracture,less than 11,1,"427 WEST MAIN STREET GARDNER, KS 66030 (38.810804, -94.937969)","(38.34774030000045, -98.20078122699965)"
47R302,MT ASCUTNEY HOSPITAL HEALTH CENTER,289 COUNTY ROAD,,WINDSOR,VT,5089,Windsor,(802) 674-7022,1,Spinal cord injury (traumatic),less than 11,1,"289 COUNTY ROAD WINDSOR, VT 05089 (43.487522, -72.40091)","(43.62538123900049, -72.51764079099962)"
34T015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVENUE,,SALISBURY,NC,28114,Rowan,(704) 210-5308,4,Stroke,37,,"612 MOCKSVILLE AVENUE SALISBURY, NC 28114 (35.681766, -80.471456)","(35.466220975000454, -79.15925046299964)"
67T055,METHODIST STONE OAK HOSPITAL,1139 E SONTERRA BLVD,,SAN ANTONIO,TX,78258,Bexar,(210) 439-3635,6,Brain disease or condition (non-traumatic),27,,"1139 E SONTERRA BLVD SAN ANTONIO, TX 78258 (29.614494, -98.475459)","(31.827240407000488, -99.42677020599967)"
17T137,LAWRENCE MEMORIAL HOSPITAL,325 MAINE STREET,,LAWRENCE,KS,66044,Douglas,(785) 505-5000,7,All other conditions,less than 11,1,"325 MAINE STREET LAWRENCE, KS 66044 (38.97815, -95.247649)","(38.34774030000045, -98.20078122699965)"
283025,MADONNA REHABILITATION HOSPITAL LINCOLN,5401 SOUTH ST,,LINCOLN,NE,68506,Lancaster,(402) 413-3000,7,Spinal cord disease or condition (non-traumatic),27,,"5401 SOUTH ST LINCOLN, NE 68506 (40.791637, -96.647214)","(41.6410409880005, -99.36572062299967)"
493032,HEALTHSOUTH REHABILITATION HOSPITAL OF FREDERICKS,300 PARK HILL DRIVE,,FREDERICKSBURG,VA,22401,Fredericksburg City,(540) 368-7300,3,Hip or femur fracture,130,,"300 PARK HILL DRIVE FREDERICKSBURG, VA 22401 (38.312908, -77.486243)","(37.54268067400045, -78.45789046299967)"
673046,BAYLOR INSTITUTE FOR REHABILITATION AT FRISCO,2990 LEGACY DRIVE,,FRISCO,TX,75034,Collin,(469) 888-5100,6,All other conditions,92,,"2990 LEGACY DRIVE FRISCO, TX 75034 (33.102477, -96.841511)","(31.827240407000488, -99.42677020599967)"
44T175,CROCKETT HOSPITAL REHAB UNIT,1607 S LOCUST AVE,,LAWRENCEBURG,TN,38464,Lawrence,(931) 766-3274,4,Spinal cord injury (traumatic),Not Available,2,"1607 S LOCUST AVE LAWRENCEBURG, TN 38464 (35.221956, -87.336694)","(35.68094058000048, -85.77449091399967)"
07T006,THE STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,PO BOX 9317,STAMFORD,CT,6904,Fairfield,(203) 276-4135,1,"Hip or knee replacement, amputation or other bone or joint condition",51,,,"(41.56266102000046, -72.64984095199964)"
38T033,OREGON REHABILITATION CENTER,1255 HILYARD STREET,PO BOX 10905,EUGENE,OR,97401,Lane,(541) 228-2396,10,Spinal cord disease or condition (non-traumatic),12,,"1255 HILYARD STREET EUGENE, OR 97401 (44.046056, -123.082105)","(44.56744942400047, -120.15503132599969)"
36T025,FIRELANDS REGIONAL MEDICAL CTR,INPATIENT REHABILITATION,1111 HAYES AVENUE,SANDUSKY,OH,44870,Erie,(419) 557-7243,5,Spinal cord disease or condition (non-traumatic),20,,,"(40.06021014100048, -82.40426005599966)"
523025,ASCENSION SACRED HEART REHABILITATION HOSPITAL,2301 N LAKE DRIVE  8TH FLOOR,,MILWAUKEE,WI,53211,Milwaukee,(414) 585-1374,5,Nervous system disorder (excluding stroke),less than 11,1,"2301 N LAKE DRIVE  8TH FLOOR MILWAUKEE, WI 53211 (43.060083, -87.880411)","(44.39319117400049, -89.81637074199966)"
